LAT,LON,YEAR,DOY,T2M,RH2M,PRECTOTCORR
44.75,-84.75,2022,1,-7.24,85.36,0.14
44.75,-84.25,2022,1,-6.93,85.37,0.13
44.75,-83.75,2022,1,-5.52,83.97,0.16
44.75,-83.25,2022,1,-2.77,85.22,0.32
44.75,-82.75,2022,1,-1.0,85.7,0.67
44.75,-82.25,2022,1,-0.18,86.32,1.18
44.75,-81.75,2022,1,-0.36,87.48,1.57
44.75,-81.25,2022,1,-1.63,89.03,1.38
44.75,-80.75,2022,1,-1.72,90.61,0.91
44.75,-80.25,2022,1,-1.9,90.12,0.64
44.75,-79.75,2022,1,-2.02,88.26,0.46
44.75,-79.25,2022,1,-2.01,86.56,0.38
44.75,-78.75,2022,1,-1.84,87.44,0.44
44.75,-78.25,2022,1,-1.7,89.94,0.6
44.75,-77.75,2022,1,-1.51,91.67,0.68
44.75,-77.25,2022,1,-1.29,92.22,0.62
44.75,-76.75,2022,1,-1.02,92.05,0.47
44.75,-76.25,2022,1,-0.69,92.5,0.36
44.75,-75.75,2022,1,-0.47,94.38,0.51
44.75,-75.25,2022,1,-0.04,96.19,0.99
45.25,-84.75,2022,1,-6.88,85.61,0.07
45.25,-84.25,2022,1,-6.83,85.24,0.07
45.25,-83.75,2022,1,-5.42,84.81,0.09
45.25,-83.25,2022,1,-3.43,85.91,0.15
45.25,-82.75,2022,1,-2.24,86.04,0.38
45.25,-82.25,2022,1,-1.77,86.31,0.77
45.25,-81.75,2022,1,-1.81,87.31,1.1
45.25,-81.25,2022,1,-2.06,89.06,0.97
45.25,-80.75,2022,1,-2.49,90.69,0.58
45.25,-80.25,2022,1,-3.45,90.04,0.35
45.25,-79.75,2022,1,-4.25,88.66,0.29
45.25,-79.25,2022,1,-4.54,87.84,0.39
45.25,-78.75,2022,1,-4.29,88.69,0.68
45.25,-78.25,2022,1,-4.0,90.26,1.03
45.25,-77.75,2022,1,-3.67,91.33,1.21
45.25,-77.25,2022,1,-3.35,91.96,1.16
45.25,-76.75,2022,1,-3.01,92.23,0.89
45.25,-76.25,2022,1,-2.53,92.28,0.52
45.25,-75.75,2022,1,-2.07,93.38,0.52
45.25,-75.25,2022,1,-1.4,95.27,0.92
45.75,-84.75,2022,1,-6.54,86.75,0.16
45.75,-84.25,2022,1,-6.76,86.32,0.13
45.75,-83.75,2022,1,-5.91,87.25,0.17
45.75,-83.25,2022,1,-5.16,87.2,0.15
45.75,-82.75,2022,1,-4.66,85.07,0.2
45.75,-82.25,2022,1,-4.67,84.39,0.29
45.75,-81.75,2022,1,-4.99,86.26,0.35
45.75,-81.25,2022,1,-4.99,89.28,0.32
45.75,-80.75,2022,1,-5.97,91.26,0.22
45.75,-80.25,2022,1,-6.74,91.36,0.2
45.75,-79.75,2022,1,-7.2,91.39,0.32
